after bash	4	7	1	4	2	5	6	1	28
after forward	3	7	1	2	5	9	2	4	26
after bash	2	7	1	5	1	5	8	2	23
after forward	1	7	1	1	2	2	6	5	22
after left	1	7	3	1	2	5	2	6	21
after forward	1	6	3	2	6	5	2	1	19
after bash	1	5	3	6	4	9	7	2	16
after forward	1	4	3	4	9	2	6	6	12
after bash	1	3	3	9	1	9	2	4	9
after forward	1	2	3	1	4	9	2	9	8
after right	1	2	1	1	2	4	9	9	7
after forward	0	2	1	2	1	3	2	1	5
after left	0	2	3	2	3	1	1	2	4
after bash	0	1	3	3	1	4	4	2	1
after forward	0	0	3	1	4	7	1	3	0
S	-3	-2	1	1	6	1	9	7	21
after left	-3	-2	3	1	1	7	6	9	20
after forward	-3	-3	3	1	4	5	7	1	19
after left	-3	-3	2	1	5	1	4	7	18
after bash	-2	-3	2	5	4	7	6	1	15
after forward	-1	-3	2	4	2	7	1	5	11
after forward	0	-3	2	2	100	4	8	4	9
after left	0	-3	4	2	4	4	100	8	8
after forward	0	-2	4	4	7	7	100	2	4
after bash	0	-1	4	7	1	8	100	4	1
after forward	0	0	4	1	100	7	100	7	0
S	-2	0	1	1	5	3	3	9	6
after left	-2	0	3	1	3	9	5	3	5
after left	-2	0	2	1	9	3	3	5	4
after bash	-1	0	2	9	1	8	8	1	1
after forward	0	0	2	1	3	3	2	9	0
S	8	-4	1	1	1	3	5	9	35
after forward	7	-4	1	1	5	9	1	1	34
after right	7	-4	4	1	1	5	1	9	33
after forward	7	-3	4	1	7	5	5	1	32
after bash	7	-2	4	7	4	2	8	1	29
after forward	7	-1	4	4	9	2	6	7	25
after left	7	-1	1	4	2	7	9	6	23
after forward	6	-1	1	2	3	2	2	4	21
after bash	5	-1	1	3	1	5	6	2	18
after forward	4	-1	1	1	5	2	5	3	17
after bash	3	-1	1	5	4	9	4	1	14
after forward	2	-1	1	4	4	9	6	5	10
after forward	1	-1	1	4	8	5	2	4	6
after right	1	-1	4	4	2	8	4	5	4
after forward	1	0	4	2	1	1	6	4	2
after left	1	0	1	2	1	4	1	6	1
after forward	0	0	1	1	100	8	1	2	0
S	0	-1	1	1	5	6	1	5	2
